Aradus,Aradus macrosomus,35.95,35.95
Aradus,Aradus madagascariensis,0.00585,0.00585
Aradus,Aradus nicholasi,119.0,119.0
Aradus,Aradus penteneuros,35.95,35.95
Aradus,Aradus popovi,35.95,35.95
Aradus,Aradus rotundiventris,35.95,35.95
Aradus,Aradus superstes,35.95,35.95
Aradus,Aradus velteni,35.95,35.95
Aradus,Aradus voigti,35.95,35.95
Aradus,Aradus weitschati,35.95,35.95
Aragocylapus,Aragocylapus miocaenicus,17.985,17.985
Araripebelostomum,Araripebelostomum martinsnetoi,117.245,117.245
Arcantivelia,Arcantivelia petraudi,102.44999999999999,102.44999999999999
Archaecorixa,Archaecorixa lata,161.7,161.7
Archaesalepta,Archaesalepta schuhi,51.9,51.9
Archearadus,Archearadus burmensis,96.55,96.55
Archearadus,Archearadus elongatus,96.55,96.55
Archeglyphis,Archeglyphis crassinervis,301.29999999999995,301.29999999999995
Archegocimex,Archegocimex geinitzi,182.5,182.5
Archegocimex,Archegocimex liadis,182.5,182.5
Archegocimex,Archegocimex primitiva,182.5,182.5
Archemyiomma,Archemyiomma carvalhoi,35.95,35.95
Archemyiomma,Archemyiomma schaeferi,35.95,35.95
Archeofulvius,Archeofulvius gulosus,35.95,35.95
Archeofulvius,Archeofulvius kotejai,35.95,35.95
Archeoviparosiphum,Archeoviparosiphum baissense,119.0,119.0
Archeoviparosiphum,Archeoviparosiphum camptotropum,119.0,119.0
Archeoviparosiphum,Archeoviparosiphum latum,119.0,119.0
Archeoviparosiphum,Archeoviparosiphum malacum,119.0,119.0
Archeoviparosiphum,Archeoviparosiphum opimum,119.0,119.0
Archeoviparosiphum,Archeoviparosiphum tuanwangense,119.0,119.0
Archepopovia,Archepopovia yurii,35.95,35.95
Archescytina,Archescytina carpenteri,270.55,270.55
Archescytina,Archescytina fusca,270.55,270.55
Archescytina,Archescytina gunderseni,270.55,270.55
Archescytina,Archescytina kaltanica,270.55,270.55
Archescytina,Archescytina kansasensis,284.70000000000005,284.70000000000005
Archescytina,Archescytina kondomensis,270.55,270.55
Archescytina,Archescytina maueriaeformis,276.0,276.0
Archescytina,Archescytina muiri,284.70000000000005,284.70000000000005
Archescytina,Archescytina permiana,284.70000000000005,284.70000000000005
Archescytina,Archescytina prosbolioides,276.0,276.0
