"187992","occ","6520","","18564","Amebelodon britti","species","43963","Hemphillian","","10.3","4.9","2200","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon"
"188203","occ","6591","","18599","Mammut matthewi","species","47937","Late Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"188285","occ","","","18611","Gnathabelodon buckneri","species","46670","Clarendonian","","13.6","10.3","3098","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gnathabelodon"
"188330","occ","6645","","18618","Gomphotherium obscurum","species","47940","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"188350","occ","6652","","18619","Gomphotherium obscurum","species","47940","Barstovian","","15.97","13.6","3433","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"188708","occ","6768","","18703","Gomphotherium obscurum","species","47940","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"188729","occ","","","18716","Rhynchotherium blicki","species","44575","Miocene","","23.03","5.333","2293","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"188742","occ","","","18720","Rhynchotherium blicki","species","44575","Miocene","","23.03","5.333","3575","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"188846","occ","6814","","18739","Rhynchotherium blicki","species","44575","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"188861","occ","","","18741","Rhynchotherium blicki","species","44575","Miocene","","23.03","5.333","3575","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"188882","occ","6825","","18746","Cuvieronius tropicus","species","45650","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius"
"188883","occ","6826","","18746","Gomphotherium obscurum","species","47940","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"188902","occ","6833","","18750","Rhynchotherium blicki","species","44575","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"188907","occ","6836","","18751","Rhynchotherium blicki","species","44575","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"189011","occ","6882","","18761","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"189171","occ","","","18799","Mastodon proavus","species","47942","Barstovian","","15.97","13.6","2394","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"189339","occ","","","18824","Mammut furlongi","species","47867","Miocene","","23.03","5.333","3119","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"189350","occ","","","18830","Mammut furlongi","species","47867","Miocene","","23.03","5.333","3119","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"189574","occ","7117","","18870","Amebelodon floridanus","species","47934","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon"
"189594","occ","7127","","18874","Gomphotherium obscurum","species","47940","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"190356","occ","7421","","19035","Gomphotherium obscurum","species","47940","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"190705","occ","","","19085","Amebelodon floridanus","species","47934","Hemphillian","","10.3","4.9","1052","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon"
"190805","occ","7577","","19095","Mammut matthewi","species","47937","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"190835","occ","7592","","19101","Mammut matthewi","species","47937","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"190837","occ","7593","","19102","Gomphotherium obscurum","species","47940","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"190859","occ","7607","","19103","Mastodon proavus","species","47942","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"190894","occ","7608","","19115","Gomphotherium obscurum","species","47940","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"190994","occ","7650","","19145","Gomphotherium obscurum","species","47940","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"191101","occ","7698","","19185","Gomphotherium obscurum","species","47940","Clarendonian","","13.6","10.3","3015","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"191385","occ","7798","","19286","Gomphotherium obscurum","species","47940","Barstovian","Early Clarendonian","15.97","10.3","4273","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"191397","occ","7803","","19287","Gomphotherium obscurum","species","47940","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"191541","occ","7859","","19322","Serbelodon burnhami","species","51516","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Serbelodon"
"191559","occ","7865","","19323","Serbelodon burnhami","species","51516","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Serbelodon"
"191793","occ","7944","","19384","Serbelodon burnhami","species","51516","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Serbelodon"
"191908","occ","7986","","19418","Gomphotherium obscurum","species","47940","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"192018","occ","8032","","19445","Rhynchotherium falconeri","species","51364","Late Hemphillian","","10.3","4.9","2491","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"192360","occ","8176","","19517","Serbelodon burnhami","species","51516","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Serbelodon"
"192494","occ","8222","","19535","Gomphotherium obscurum","species","47940","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"192837","occ","8342","","19604","Rhynchotherium falconeri","species","51364","Late Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"192838","occ","8343","","19604","Mammut matthewi","species","47937","Late Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"192853","occ","8353","","19608","Gomphotherium obscurum","species","47940","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"192952","occ","","","19619","Rhynchotherium falconeri","species","51364","Blancan","","4.9","1.8","2592","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"193245","occ","","","19654","Stegomastodon mirificus","species","47939","Blancan","","4.9","1.8","6199","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"193257","occ","","","19655","Stegomastodon mirificus","species","47939","Blancan","","4.9","1.8","6199","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"193263","occ","","","19655","Stegomastodon mirificus","species","47939","Blancan","","4.9","1.8","2617","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"193353","occ","","","19663","Mammut americanum","species","46016","Blancan","","4.9","1.8","2018","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"193365","occ","8490","","19665","Mammut cosoensis","species","50575","Blancan","","4.9","1.8","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"193379","occ","8496","","19668","Stegomastodon mirificus","species","47939","Blancan","","4.9","1.8","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"193394","occ","","","19673","Dibelodon praecursor","species","45648","Blancan","","4.9","1.8","2590","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"193428","occ","8509","","19699","Mammut matthewi","species","47937","Blancan","","4.9","1.8","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"193667","occ","8560","","19745","Cuvieronius tropicus","species","45650","Blancan","","4.9","1.8","2615","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius"
"193695","occ","","","19750","Cuvieronius tropicus","species","45650","Blancan","Irvingtonian","4.9","0.3","2615","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius"
"193760","occ","","","19754","Cuvieronius tropicus","species","45650","Blancan","","4.9","1.8","2615","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius"
"193814","occ","","","19768","Stegomastodon mirificus","species","47939","Blancan","","4.9","1.8","2878","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"194150","occ","","","19911","Stegomastodon mirificus","species","47939","Blancan","","4.9","1.8","3118","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"194176","occ","","","19913","Stegomastodon mirificus","species","47939","Blancan","","4.9","1.8","3118","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"194240","occ","8754","","19923","Mammut americanum","species","46016","Blancan","","4.9","1.8","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"194292","occ","8768","","19929","Stegomastodon mirificus","species","47939","Blancan","","4.9","1.8","6254","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"194365","occ","8797","","19932","Mammut americanum","species","46016","Blancan","","4.9","1.8","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"194439","occ","8820","","19936","Stegomastodon primitivus","species","51764","Blancan","","4.9","1.8","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"194468","occ","","","19939","Stegomastodon mirificus","species","47939","Blancan","","4.9","1.8","1864","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"194487","occ","8831","","19940","Stegomastodon primitivus","species","51764","Blancan","","4.9","1.8","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"194658","occ","8882","","19955","Stegomastodon primitivus","species","51764","Blancan","","4.9","1.8","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"194727","occ","","","19963","Stegomastodon primitivus","species","51764","Blancan","","4.9","1.8","2518","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"194794","occ","","","19969","Rhynchotherium falconeri","species","51364","Blancan","","4.9","1.8","2301","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"194824","occ","8920","","19974","Stegomastodon primitivus","species","51764","Blancan","","4.9","1.8","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"194825","occ","","","19975","Mammut raki","species","47945","Blancan","","4.9","1.8","2302","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"194829","occ","","","19976","Stegomastodon mirificus","species","47939","Blancan","","4.9","1.8","1363","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
