"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","image_no","lng","lat"
"222694","occ","","","21464","Deinotherium bozasi","species","157873","Late Pliocene","Calabrian","3.6","0.781","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium","1170","36.325001","4.300000"
"222704","occ","","","21464","Palaeoloxodon recki","species","133588","Late Pliocene","Calabrian","3.6","0.781","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.325001","4.300000"
"222720","occ","","","21467","Palaeoloxodon recki","species","133588","Pliocene","Pleistocene","5.333","0.0117","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.292000","4.292000"
"222759","occ","","","21472","Palaeoloxodon recki","species","133588","Pliocene","Pleistocene","5.333","0.0117","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.307999","4.275000"
"222783","occ","","","21474","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.375000","4.283000"
"222789","occ","","","21475","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.370998","4.242000"
"222815","occ","","","21478","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium","1170","36.334000","4.059000"
"222855","occ","","","21481","Deinotherium bozasi","species","157873","Piacenzian","","3.6","2.588","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium","1170","36.333000","4.058000"
"222856","occ","","","21481","Palaeoloxodon recki","species","133588","Piacenzian","","3.6","2.588","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.333000","4.058000"
"222862","occ","","","21482","Deinotherium bozasi","species","157873","Piacenzian","","3.6","2.588","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium","1170","36.307999","4.092000"
"222864","occ","","","21482","Palaeoloxodon recki","species","133588","Piacenzian","","3.6","2.588","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.307999","4.092000"
"222909","occ","","","21486","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.391998","4.100000"
"222920","occ","","","21488","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium","1170","36.307999","4.092000"
"222922","occ","","","21488","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.307999","4.092000"
"222991","occ","","","21498","Deinotherium bozasi","species","157873","Pliocene","Calabrian","5.333","0.781","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium","1170","36.379200","3.908300"
"223072","occ","","","21503","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium","1170","36.417000","4.183000"
"223074","occ","","","21503","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.417000","4.183000"
"223090","occ","","","21503","Loxodonta","genus","43265","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","36.417000","4.183000"
"223107","occ","","","21504","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.400002","4.150000"
"223126","occ","","","21504","Loxodonta","genus","43265","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","36.400002","4.150000"
"223216","occ","","","21515","Palaeoloxodon recki","species","133588","Late Pliocene","Calabrian","3.6","0.781","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.233002","4.287000"
"223223","occ","","","21516","Palaeoloxodon recki","species","133588","Late Pliocene","Calabrian","3.6","0.781","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.271000","4.317000"
"223227","occ","","","21521","Palaeoloxodon recki","species","133588","Pliocene","Pleistocene","5.333","0.0117","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.283298","4.258300"
"223232","occ","","","21541","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.023899","5.061700"
"223236","occ","","","21542","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.020802","5.108100"
"223241","occ","","","21543","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","5263","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.018101","5.072500"
"223244","occ","","","21544","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.023102","5.090800"
"223253","occ","","","21545","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.029999","5.079700"
"223324","occ","","","21547","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.036098","5.063900"
"223326","occ","","","21548","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.011902","5.078100"
"223328","occ","","","21548","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.011902","5.078100"
"223332","occ","","","21549","Palaeoloxodon recki","species","133588","Piacenzian","","3.6","2.588","4486","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.028599","5.068900"
"223348","occ","","","21551","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.033100","5.067800"
"223352","occ","","","21552","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.013302","5.077500"
"223360","occ","","","21553","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.033100","5.141900"
"223374","occ","","","21554","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.021702","5.089700"
"223384","occ","","","21555","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.022499","5.093900"
"223397","occ","","","21557","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4486","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.014198","5.080300"
"223403","occ","","","21558","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.024200","5.087200"
"223405","occ","","","21559","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.022800","5.096700"
"223409","occ","","","21560","Loxodonta","genus","43265","Gelasian","","2.588","1.806","4486","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","36.024399","5.090600"
"223411","occ","","","21561","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.020599","5.088100"
"223419","occ","","","21562","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.021702","5.094400"
"223423","occ","","","21563","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.026901","5.146900"
"223428","occ","","","21564","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4763","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.023300","5.094200"
"223430","occ","","","21565","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.035000","5.136400"
"223441","occ","","","21566","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.029400","5.087500"
"223455","occ","","","21567","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.034698","5.113300"
"223474","occ","","","21570","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.025002","5.066900"
"223482","occ","","","21571","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4763","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.017200","5.080000"
"223490","occ","","","21573","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4763","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.023899","5.079400"
"223498","occ","","","21576","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.030800","5.094200"
"223510","occ","","","21580","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4486","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.034199","5.121900"
"223524","occ","","","21584","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.028900","5.111900"
"223527","occ","","","21585","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.031399","5.117800"
"223549","occ","","","21592","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.023602","5.050600"
"223552","occ","","","21593","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.020599","5.070800"
"223556","occ","","","21594","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.035801","5.065000"
"223559","occ","","","21595","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.032501","5.071400"
"223562","occ","","","21596","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.031700","5.070300"
"223566","occ","","","21597","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.023300","5.086700"
"223567","occ","","","21598","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.017200","5.028900"
"223584","occ","","","21604","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.019402","5.088900"
"223606","occ","","","21608","Palaeoloxodon recki","species","133588","Piacenzian","","3.6","2.588","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.032799","5.060000"
"223626","occ","","","21609","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.037498","5.096700"
"223635","occ","","","21610","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","5263","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.037498","5.098600"
"223647","occ","","","21612","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.026901","5.101400"
"223668","occ","","","21615","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.034199","5.100800"
"223672","occ","","","21616","Palaeoloxodon recki","species","133588","Pliocene","","5.333","2.588","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.025002","5.125600"
"223682","occ","","","21618","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.039200","5.151700"
"223717","occ","","","21621","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.013100","5.046700"
"223729","occ","","","21622","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.007198","5.047500"
"223744","occ","","","21625","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4486","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.029999","5.066100"
"223776","occ","","","21626","Deinotheriidae","family","43279","Gelasian","","2.588","1.806","5263","Chordata","Mammalia","Proboscidea","Deinotheriidae","","1170","36.031399","5.084400"
"223793","occ","","","21627","Deinotheriidae","family","43279","Gelasian","","2.588","1.806","4486","Chordata","Mammalia","Proboscidea","Deinotheriidae","","1170","36.022202","5.123100"
"223806","occ","","","21628","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4730","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.025299","5.082500"
"223826","occ","","","21631","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.022800","5.083900"
"223838","occ","","","21632","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.028301","5.051900"
"223881","occ","","","21635","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.003101","5.040300"
"223885","occ","","","21636","Palaeoloxodon recki","species","133588","Piacenzian","","3.6","2.588","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.034199","5.041700"
"223888","occ","","","21637","Palaeoloxodon recki","species","133588","Piacenzian","","3.6","2.588","4486","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.036098","5.050000"
"223889","occ","","","21637","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4486","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","36.036098","5.050000"
"223891","occ","","","21637","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4486","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","36.036098","5.050000"
"223894","occ","","","21638","Palaeoloxodon recki","species","133588","Piacenzian","","3.6","2.588","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.032501","5.051400"
"223903","occ","","","21640","Palaeoloxodon recki","species","133588","Piacenzian","","3.6","2.588","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.032799","5.060000"
"223918","occ","","","21641","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4486","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.023899","5.033300"
"223924","occ","","","21642","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.019199","5.050800"
"223928","occ","","","21643","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.018902","5.054700"
"223933","occ","","","21644","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.012798","5.008100"
"223937","occ","","","21645","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.020599","5.072500"
"223944","occ","","","21646","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4763","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.026402","5.064700"
"223946","occ","","","21647","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.022202","5.124400"
"223957","occ","","","21650","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.027199","5.140800"
"223962","occ","","","21651","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.016899","5.002200"
"223969","occ","","","21652","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.020302","5.043100"
"223992","occ","","","21654","Deinotheriidae","family","43279","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Deinotheriidae","","1170","36.030800","5.117200"
"224016","occ","","","21657","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.039200","5.023900"
"224036","occ","","","21659","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4763","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.013599","5.035300"
"224040","occ","","","21660","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.015800","5.011400"
"224050","occ","","","21662","Elephantidae","family","43263","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","","1256","36.022202","5.108100"
"224065","occ","","","21664","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.037201","5.097200"
"224073","occ","","","21666","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.023300","5.066700"
"224093","occ","","","21668","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","5263","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.009998","5.034200"
"224119","occ","","","21671","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.006100","5.008300"
"224124","occ","","","21672","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.009998","5.007800"
"224132","occ","","","21673","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.014702","5.036100"
"224152","occ","","","21676","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.027802","5.042500"
"224162","occ","","","21679","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.016701","5.052800"
"224164","occ","","","21680","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.015598","5.049200"
"224193","occ","","","21683","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4763","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.014198","5.045800"
"224205","occ","","","21737","Palaeoloxodon recki","species","133588","Zanclean","","5.333","3.6","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","35.958302","5.441700"
"224207","occ","","","21737","Loxodonta","genus","43265","Zanclean","","5.333","3.6","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","35.958302","5.441700"
"224213","occ","","","21738","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.024399","5.066100"
"224214","occ","","","21738","Loxodonta","genus","43265","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","36.024399","5.066100"
"224236","occ","","","21742","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.033100","5.030600"
"224245","occ","","","21743","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.005600","5.055000"
"224278","occ","","","21751","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.029202","5.044200"
"224279","occ","","","21751","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4769","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.029202","5.044200"
"224288","occ","","","21752","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4763","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.038300","5.059400"
"224289","occ","","","21753","Elephas","genus","43264","Pliocene","","5.333","2.588","4768","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.170799","5.333300"
"224301","occ","10452","","21754","Elephas","genus","43264","Pliocene","","5.333","2.588","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.174999","5.345800"
"224328","occ","10461","","21755","Elephas","genus","43264","Pliocene","","5.333","2.588","4447","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","36.166698","5.325000"
"224348","occ","","","21756","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4835","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","40.586102","11.119400"
"224350","occ","","","21757","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4835","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","40.586102","11.116700"
"224353","occ","","","21758","Deinotherium bozasi","species","157873","Piacenzian","","3.6","2.588","4835","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium","1170","40.584702","11.116700"
"224354","occ","","","21758","Elephas","genus","43264","Piacenzian","","3.6","2.588","4835","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","40.584702","11.116700"
"224356","occ","","","21758","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4835","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","40.584702","11.116700"
"224358","occ","","","21759","Elephas","genus","43264","Piacenzian","","3.6","2.588","4835","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","40.586102","11.116700"
"224375","occ","","","21765","Mammuthus","genus","43266","Piacenzian","","3.6","2.588","4849","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1672","40.573601","11.130600"
"224378","occ","","","21767","Deinotherium bozasi","species","157873","Piacenzian","","3.6","2.588","4782","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium","1170","40.562500","11.115300"
"224379","occ","","","21767","Palaeoloxodon recki","species","133588","Piacenzian","","3.6","2.588","4782","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","40.562500","11.115300"
"224380","occ","","","21767","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4782","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","40.562500","11.115300"
"224381","occ","","","21767","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4782","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","40.562500","11.115300"
"224383","occ","","","21768","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4782","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","40.604198","11.138900"
"224386","occ","","","21769","Deinotherium bozasi","species","157873","Piacenzian","","3.6","2.588","4782","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium","1170","40.597198","11.141700"
"224387","occ","","","21769","Palaeoloxodon recki","species","133588","Piacenzian","","3.6","2.588","4782","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","40.597198","11.141700"
"224389","occ","","","21770","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4782","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","40.604198","11.143100"
"224420","occ","","","21781","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4849","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","40.590302","11.118100"
"224437","occ","","","21784","Palaeoloxodon recki","species","133588","Piacenzian","","3.6","2.588","4782","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","40.602798","11.140300"
"224462","occ","","","21787","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4451","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","35.226398","-3.227800"
"224468","occ","","","21788","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4451","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","35.224998","-3.219400"
"224475","occ","","","21789","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4451","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","35.211102","-3.193100"
"224484","occ","","","21790","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4451","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","35.206902","-3.198600"
"224510","occ","","","21791","Palaeoloxodon recki","species","133588","Pliocene","Calabrian","5.333","0.781","4867","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","27.733299","-26.016701"
"224545","occ","","","21792","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4451","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","35.176399","-3.256900"
"224553","occ","","","21793","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4451","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","35.222198","-3.234700"
"224577","occ","","","21795","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4451","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","35.218102","-3.240300"
"224591","occ","","","21796","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4451","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","35.222198","-3.215300"
"224603","occ","","","21798","Deinotherium bozasi","species","157873","Piacenzian","","3.6","2.588","4451","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium","1170","35.208302","-3.215300"
"224609","occ","","","21798","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4451","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","35.208302","-3.215300"
"224632","occ","","","21799","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4451","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","35.208302","-3.209700"
"224661","occ","","","21800","Loxodonta","genus","43265","Piacenzian","","3.6","2.588","4451","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","1214","35.202801","-3.012500"
