"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","image_no","lng","lat"
"184391","occ","","","18072","Amebelodon fricki","species","43966","Hemphillian","","10.3","4.9","6208","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon","1254","-100.099998","36.099998"
"184411","occ","","","18073","Gomphotheriidae","family","43240","Hemphillian","","10.3","4.9","3715","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-101.500000","33.700001"
"184426","occ","5441","","18074","Gomphotherium obscurum","species","47940","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","35.000000"
"184456","occ","5452","","18077","Tetrabelodon osborni","species","52204","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","42.799999"
"184473","occ","","","18078","Gomphotherium","genus","43247","Clarendonian","","13.6","10.3","3564","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","42.799999"
"184486","occ","","","18081","Gomphotheriidae","family","43240","Miocene","","23.03","5.333","3356","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-101.800003","43.200001"
"184503","occ","","","18082","Gomphotherium","genus","43247","Clarendonian","","13.6","10.3","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-99.699997","42.799999"
"184543","occ","","","18086","Amebelodon fricki","species","43966","Hemphillian","","10.3","4.9","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon","1254","-100.500000","40.500000"
"184565","occ","","","18088","Gomphotheriidae","family","43240","Hemphillian","","10.3","4.9","6208","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-99.800003","36.099998"
"184593","occ","","","18090","Gomphotherium","genus","43247","Barstovian","","15.97","13.6","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.000000","42.700001"
"184616","occ","","","18092","Gomphotheriidae","family","43240","Clarendonian","","13.6","10.3","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-98.000000","42.599998"
"184631","occ","","","18093","Rhynchotherium","genus","43256","Late Hemphillian","","10.3","4.9","6209","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium","1254","-101.300003","35.000000"
"184672","occ","","","18096","Gomphotheriidae","family","43240","Clarendonian","","13.6","10.3","6207","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-101.900002","35.400002"
"184702","occ","","","18097","Rhynchotherium","genus","43256","Hemphillian","","10.3","4.9","6209","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium","1254","-100.199997","35.900002"
"184718","occ","","","18098","Gomphotheriidae","family","43240","Miocene","","23.03","5.333","6207","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-100.099998","36.099998"
"184747","occ","","","18104","Gomphotheriidae","family","43240","Clarendonian","","13.6","10.3","3715","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-101.500000","33.700001"
"184763","occ","","","18106","Gomphotherium","genus","43247","Clarendonian","","13.6","10.3","3564","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","42.799999"
