"accepted_name","accepted_rank","max_ma","min_ma","family","genus","lng","lat"
"Mammut americanum","species","0.126","0.0117","Mammutidae","Mammut","-114.500000","62.500000"
"Mammuthus","genus","0.126","0.0117","Elephantidae","Mammuthus","-112.900002","42.799999"
"Mammut americanum","species","0.126","0.0117","Mammutidae","Mammut","-112.900002","42.799999"
"Mammut americanum","species","0.126","0.0117","Mammutidae","Mammut","-81.099998","32.000000"
"Mammuthus columbi","species","0.126","0.0117","Elephantidae","Mammuthus","-81.099998","32.000000"
"Mammuthus columbi","species","0.126","0.0117","Elephantidae","Mammuthus","-110.699997","50.099998"
"Mammuthus columbi","species","0.126","0.0117","Elephantidae","Mammuthus","-105.000000","37.299999"
"Mammut americanum","species","0.126","0.0117","Mammutidae","Mammut","-81.300003","50.799999"
"Mammuthus","genus","0.126","0.0117","Elephantidae","Mammuthus","-108.199997","44.983334"
"Proboscidea","order","0.3","0.012","","","-117.800003","33.599998"
"Mammut americanum","species","0.126","0.0117","Mammutidae","Mammut","-140.000000","68.199997"
"Mammuthus primigenius","species","0.126","0.0117","Elephantidae","Mammuthus","-140.000000","68.199997"
"Mammuthus","genus","0.126","0.0117","Elephantidae","Mammuthus","-140.000000","68.199997"
"Mammuthus","genus","0.126","0.0117","Elephantidae","Mammuthus","-82.099998","29.799999"
"Mammuthus","genus","0.126","0.0117","Elephantidae","Mammuthus","-111.000000","29.400000"
"Proboscidea","order","0.126","0.0117","","","-106.699997","52.200001"
"Mammuthus","genus","0.126","0.0117","Elephantidae","Mammuthus","-81.449997","28.716667"
"Mammut americanum","species","0.126","0.0117","Mammutidae","Mammut","-81.449997","28.716667"
"Mammuthus columbi","species","0.126","0.0117","Elephantidae","Mammuthus","-122.099998","37.900002"
"Mammut americanum","species","0.126","0.0117","Mammutidae","Mammut","-82.199997","28.799999"
"Mammuthus","genus","0.126","0.0117","Elephantidae","Mammuthus","-118.000000","34.000000"
"Mammuthus","genus","0.126","0.0117","Elephantidae","Mammuthus","-106.699997","52.099998"
"Mammuthus columbi","species","0.126","0.0117","Elephantidae","Mammuthus","-111.199997","40.900002"
"Mammuthus","genus","0.126","0.0117","Elephantidae","Mammuthus","-121.500000","38.599998"
"Mammuthus","genus","0.126","0.0117","Elephantidae","Mammuthus","-82.599998","29.400000"
"Mammut americanum","species","0.126","0.0117","Mammutidae","Mammut","-82.599998","29.400000"
"Proboscidea","order","0.126","0.0117","","","-117.699997","55.700001"
"Mammuthus","genus","0.126","0.0117","Elephantidae","Mammuthus","-82.199997","28.799999"
"Mammut americanum","species","0.126","0.0117","Mammutidae","Mammut","-82.199997","28.799999"
"Deinotherium bozasi","species","1.806","0.781","Deinotheriidae","Deinotherium","35.792000","4.250000"
"Primelephas korotorensis","species","7.246","2.588","Elephantidae","Primelephas","36.067001","2.883000"
"Stegotetrabelodon orbus","species","7.246","2.588","Elephantidae","Stegotetrabelodon","36.067001","2.883000"
"Deinotherium","genus","7.246","2.588","Deinotheriidae","Deinotherium","36.067001","2.883000"
"Gomphotheriidae","family","7.246","2.588","Gomphotheriidae","","36.067001","2.883000"
"Loxodonta","genus","3.6","2.588","Elephantidae","Loxodonta","36.067001","2.883000"
"Elephas","genus","5.333","3.6","Elephantidae","Elephas","36.132999","2.550000"
"Loxodonta","genus","5.333","3.6","Elephantidae","Loxodonta","36.132999","2.550000"
"Anancus","genus","5.333","3.6","Gomphotheriidae","Anancus","36.132999","2.550000"
"Deinotherium bozasi","species","5.333","3.6","Deinotheriidae","Deinotherium","36.083000","2.367000"
"Elephas","genus","5.333","3.6","Elephantidae","Elephas","36.083000","2.367000"
"Loxodonta","genus","5.333","3.6","Elephantidae","Loxodonta","36.083000","2.367000"
"Anancus","genus","5.333","3.6","Gomphotheriidae","Anancus","36.083000","2.367000"
"Choerolophodon","genus","13.82","11.62","Gomphotheriidae","Choerolophodon","34.608002","-0.133000"
"Gomphotheriidae","family","13.82","11.62","Gomphotheriidae","","35.341999","-0.225000"
"Palaeoloxodon recki","species","1.806","0.781","Elephantidae","Elephas","36.367001","3.867000"
"Deinotherium bozasi","species","2.588","1.806","Deinotheriidae","Deinotherium","36.325298","3.783300"
"Elephantidae","family","2.588","1.806","Elephantidae","","36.031399","5.084400"
"Elephantidae","family","2.588","1.806","Elephantidae","","36.022202","5.123100"
"Loxodonta africana","species","0.0117","0","Elephantidae","Loxodonta","35.000000","-2.416700"
"Loxodonta africana","species","0.0117","0","Elephantidae","Loxodonta","-5.033300","6.216700"
"Deinotherium bozasi","species","3.6","2.588","Deinotheriidae","Deinotherium","40.586102","11.133300"
"Palaeoloxodon recki","species","3.6","2.588","Elephantidae","Elephas","40.586102","11.133300"
"Deinotherium bozasi","species","3.6","2.588","Deinotheriidae","Deinotherium","40.583302","11.136100"
"Elephas","genus","3.6","2.588","Elephantidae","Elephas","40.583302","11.136100"
"Loxodonta","genus","3.6","2.588","Elephantidae","Loxodonta","40.583302","11.136100"
"Mammuthus","genus","3.6","2.588","Elephantidae","Mammuthus","40.583302","11.136100"
"Deinotherium bozasi","species","3.6","2.588","Deinotheriidae","Deinotherium","40.583302","11.133300"
"Elephas","genus","3.6","2.588","Elephantidae","Elephas","40.583302","11.133300"
"Loxodonta","genus","3.6","2.588","Elephantidae","Loxodonta","40.583302","11.133300"
"Palaeoloxodon recki","species","3.6","2.588","Elephantidae","Elephas","40.583302","11.133300"
"Loxodonta","genus","3.6","2.588","Elephantidae","Loxodonta","40.583302","11.133300"
"Mammuthus","genus","3.6","2.588","Elephantidae","Mammuthus","40.583302","11.133300"
"Prodeinotherium hobleyi","species","23.03","11.608","Deinotheriidae","Prodeinotherium","16.500000","-28.250000"
"Gomphotherium","genus","23.03","11.608","Gomphotheriidae","Gomphotherium","16.500000","-28.250000"
"Elephas","genus","2.588","0","Elephantidae","Elephas","5.916700","35.750000"
"Loxodonta africana","species","0.0117","0","Elephantidae","Loxodonta","29.083300","25.799999"
"Loxodonta africana","species","0.781","0.0117","Elephantidae","Loxodonta","35.000000","-3.666700"
"Palaeoloxodon recki","species","0.0117","0","Elephantidae","Elephas","25.500000","23.000000"
"Palaeoloxodon recki","species","1.806","0.781","Elephantidae","Elephas","23.008301","-27.663900"
"Loxodonta africana","species","0.0117","0","Elephantidae","Loxodonta","36.099998","-0.416700"
"Loxodonta africana","species","2.588","0.0117","Elephantidae","Loxodonta","18.000000","-33.000000"
"Loxodonta","genus","3.6","2.588","Elephantidae","Loxodonta","18.879400","15.969400"
"Palaeoloxodon recki","species","1.806","0.781","Elephantidae","Elephas","35.287498","-2.958300"
"Deinotheriidae","family","2.588","0.781","Deinotheriidae","","35.345798","-2.987500"
"Palaeoloxodon recki","species","2.588","0.0117","Elephantidae","Elephas","35.344398","-2.986100"
"Palaeoloxodon recki","species","1.806","0.781","Elephantidae","Elephas","34.316700","-2.979000"
"Elephas","genus","5.333","2.588","Elephantidae","Elephas","33.708302","-3.858000"
"Palaeoloxodon recki","species","1.806","0.781","Elephantidae","Elephas","34.316700","-2.979000"
"Protanancus","genus","13.82","11.62","Gomphotheriidae","Protanancus","34.617001","0.166000"
"Protanancus","genus","13.82","11.62","Gomphotheriidae","Protanancus","34.612000","0.133000"
"Palaeoloxodon recki","species","5.333","0","Elephantidae","Elephas","29.583300","0.100000"
"Palaeoloxodon recki","species","5.333","0.0117","Elephantidae","Elephas","29.583000","0.008000"
"Elephantidae","family","23.03","0.0117","Elephantidae","","40.167000","11.667000"
"Palaeoloxodon recki","species","5.333","0.0117","Elephantidae","Elephas","40.250000","10.300000"
"Anancus","genus","5.333","0.0117","Gomphotheriidae","Anancus","40.583302","10.616700"
"Mammuthus","genus","5.333","0.0117","Elephantidae","Mammuthus","40.583302","10.616700"
"Elephas","genus","5.333","0.0117","Elephantidae","Elephas","40.583302","10.616700"
"Gomphotheriidae","family","5.333","0.0117","Gomphotheriidae","","40.583302","10.616700"
"Anancus","genus","23.03","0.0117","Gomphotheriidae","Anancus","40.541698","10.625000"
"Mammuthus","genus","23.03","0.0117","Elephantidae","Mammuthus","40.541698","10.625000"
"Palaeoloxodon recki","species","23.03","0.0117","Elephantidae","Elephas","40.541698","10.625000"
