"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1005973","occ","","","122487","Cydnus archaicus","species","211047","Chattian","","28.1","23.03","39047"
"1005975","occ","","","122488","Palomena serresi","species","211643","Chattian","","28.1","23.03","39047"
"1005976","occ","","","122488","Cicadatra serresi","species","211663","Chattian","","28.1","23.03","39047"
"1006170","occ","","","113712","Aphanus murchisonae","species","211651","Chattian","","28.1","23.03","38999"
"1006171","occ","","","113712","Aphanus pulchellus","species","207423","Chattian","","28.1","23.03","38999"
"1006172","occ","","","113712","Heterogaster pumilio","species","211659","Chattian","","28.1","23.03","38999"
"1006173","occ","","","113712","Aphrophora coquandi","species","211666","Chattian","","28.1","23.03","38999"
"1006178","occ","","","122508","Daclera naturalis","species","211645","Chattian","","28.1","23.03","38999"
"1006179","occ","","","122508","Daclera naturalis","species","211645","Chattian","","28.1","23.03","38999"
"1006180","occ","","","122508","Leptoserinetha navicularis","species","211649","Chattian","","28.1","23.03","38999"
"1006181","occ","","","122508","Aphanus pulchellus","species","207423","Chattian","","28.1","23.03","38999"
"1006182","occ","","","122508","Aphrophora coquandi","species","211666","Chattian","","28.1","23.03","38999"
"1006183","occ","","","122509","Cydnus meunieri","species","211641","Chattian","","28.1","23.03","38999"
"1006184","occ","","","122509","Cydnus brevicollis","species","207383","Chattian","","28.1","23.03","38999"
"1006185","occ","","","122509","Aphanus murchisonae","species","211651","Chattian","","28.1","23.03","38999"
"1006186","occ","","","122509","Metacanthus (Megalomerium) serratum","species","211662","Chattian","","28.1","23.03","38999"
"1006187","occ","","","122509","Aphrophora coquandi","species","211666","Chattian","","28.1","23.03","38999"
"1006188","occ","","","122511","Cydnus brevicollis","species","207383","Chattian","","28.1","23.03","38999"
"1006189","occ","","","122511","Daclera","genus","211644","Chattian","","28.1","23.03","38999"
"1006190","occ","","","122511","Lygaeus elongatiabdominalis","species","211650","Chattian","","28.1","23.03","38999"
"1006191","occ","","","122511","Aphanus murchisonae","species","211651","Chattian","","28.1","23.03","38999"
"1006192","occ","","","122511","Aphanus pulchellus","species","207423","Chattian","","28.1","23.03","38999"
"1006193","occ","","","122511","Heterogaster antiquus","species","211658","Chattian","","28.1","23.03","38999"
"1006194","occ","","","122511","Heterogaster","genus","207426","Chattian","","28.1","23.03","38999"
"1006200","occ","","","122501","Cydnus meunieri","species","211641","Chattian","","28.1","23.03","38999"
"1006201","occ","","","122501","Aphanus murchisonae","species","211651","Chattian","","28.1","23.03","38999"
"1006202","occ","","","122501","Aphanus pulchellus","species","207423","Chattian","","28.1","23.03","38999"
"1006203","occ","","","122501","Aphanus dilatatus","species","211655","Chattian","","28.1","23.03","38999"
"1006204","occ","","","122501","Diniella fasciata","species","207424","Chattian","","28.1","23.03","38999"
"1006205","occ","","","122501","Heterogaster antiquus","species","211658","Chattian","","28.1","23.03","38999"
"1006206","occ","","","122501","Heterogaster pumilio","species","211659","Chattian","","28.1","23.03","38999"
"1006207","occ","","","122488","Cydnus brevicollis","species","207383","Chattian","","28.1","23.03","38999"
"1006208","occ","","","122488","Coreus serresi","species","211647","Chattian","","28.1","23.03","38999"
"1006209","occ","","","122488","Aphanus pulchellus","species","207423","Chattian","","28.1","23.03","38999"
"1006210","occ","","","122488","Heterogaster pumilio","species","211659","Chattian","","28.1","23.03","38999"
"1006211","occ","","","122488","Metacanthus (Megalomerium) serratum","species","211662","Chattian","","28.1","23.03","38999"
"1006332","occ","","","122535","Cydnus brevicollis","species","207383","Chattian","","28.1","23.03","38999"
"1006333","occ","","","122535","Aphanus pulchellus","species","207423","Chattian","","28.1","23.03","38999"
"1006334","occ","","","122535","Heterogaster pumilio","species","211659","Chattian","","28.1","23.03","38999"
"1006335","occ","","","122535","Heterogaster breviscutatus","species","211847","Chattian","","28.1","23.03","38999"
"1006336","occ","","","122536","Heterogaster pumilio","species","211659","Chattian","","28.1","23.03","38999"
"1006337","occ","","","122536","Aphanus dilatatus","species","211655","Chattian","","28.1","23.03","38999"
"1006340","occ","","","122535","Phytocoris poissoni","species","211849","Chattian","","28.1","23.03","38999"
"1006341","occ","","","122535","Metacanthus (Megalomerium) serratum","species","211662","Chattian","","28.1","23.03","38999"
"1006342","occ","","","122535","Ptyelus spumiferus","species","211850","Chattian","","28.1","23.03","38999"
"1006343","occ","","","122535","Hemiptera","order","94230","Chattian","","28.1","23.03","38999"
"1006876","occ","","","106379","Echinaphis rohweri","species","212264","Chadronian","","37.2","33.9","5037"
"1006898","occ","","","122745","Amagua fortis","species","212294","Rupelian","","33.9","28.1","5050"
"1006905","occ","","","114681","Dinidorites margiformis","species","199780","Bridgerian","","50.3","46.2","5050"
"1006907","occ","","","122747","Thamnotettix eocenicus","species","196071","Bridgerian","","50.3","46.2","5050"
"1006911","occ","","","105004","Delphax senilis","species","206717","Bridgerian","","50.3","46.2","5050"
"1007165","occ","","","122855","Procercopina thailandica","species","212384","Middle Jurassic","","174.1","163.5","39158"
"1007229","occ","","","122863","Protopsyllidiidae","family","197208","Kungurian","","279.3","272.3","39166"
"1007233","occ","","","113689","Pentatoma appendiculatum","species","212431","Sarmatian","","12.7","11.608","39159"
"1007234","occ","","","113689","Syromastes seyfriedi","species","212458","Sarmatian","","12.7","11.608","39159"
"1007235","occ","","","113689","Harpactor constrictus","species","212497","Sarmatian","","12.7","11.608","39159"
"1007236","occ","","","113689","Aphrophora spumarioides","species","212533","Sarmatian","","12.7","11.608","39159"
"1007237","occ","","","113689","Pirates oeningensis","species","212572","Sarmatian","","12.7","11.608","39159"
"1007238","occ","","","117252","Pachycoris escheri","species","212388","Sarmatian","","12.7","11.608","39159"
"1007239","occ","","","117252","Cydnus oeningensis","species","212391","Sarmatian","","12.7","11.608","39159"
"1007240","occ","","","117252","Cydnopsis deleta","species","212393","Sarmatian","","12.7","11.608","39159"
"1007241","occ","","","117252","Cydnopsis pygmaea","species","211720","Sarmatian","","12.7","11.608","39159"
"1007242","occ","","","117252","Halys bruckmanni","species","212438","Sarmatian","","12.7","11.608","39159"
"1007243","occ","","","117252","Eurydema impudica","species","212439","Sarmatian","","12.7","11.608","39159"
"1007244","occ","","","117252","Eurydema arcuata","species","212440","Sarmatian","","12.7","11.608","39159"
"1007245","occ","","","117252","Alydus pulchellus","species","212452","Sarmatian","","12.7","11.608","39159"
"1007246","occ","","","117252","Cephalocoris pilosus","species","212472","Sarmatian","","12.7","11.608","39159"
"1007247","occ","","","117252","Pachymerus obsoletus","species","212473","Sarmatian","","12.7","11.608","39159"
"1007248","occ","","","117252","Harpactor maculipes","species","212496","Sarmatian","","12.7","11.608","39159"
"1007249","occ","","","117252","Harpactor obsoletus","species","212499","Sarmatian","","12.7","11.608","39159"
"1007250","occ","","","117252","Prostemma oeningensis","species","212501","Sarmatian","","12.7","11.608","39159"
"1007251","occ","","","117252","Corixidae","family","71802","Sarmatian","","12.7","11.608","39159"
"1007252","occ","","","117252","Pachycoris protogaeus","species","212562","Sarmatian","","12.7","11.608","39159"
"1007253","occ","","","117252","Cydnopsis exilis","species","212563","Sarmatian","","12.7","11.608","39159"
"1007254","occ","","","115305","Pachycoris germari","species","212387","Sarmatian","","12.7","11.608","39159"
"1007255","occ","","","115305","Pachycoris escheri","species","212388","Sarmatian","","12.7","11.608","39159"
"1007256","occ","","","115305","Pentatoma longiceps","species","212432","Sarmatian","","12.7","11.608","39159"
"1007257","occ","","","115305","Halys bruckmanni","species","212438","Sarmatian","","12.7","11.608","39159"
"1007258","occ","","","115305","Eurydema impudica","species","212439","Sarmatian","","12.7","11.608","39159"
"1007259","occ","","","115305","Eurydema brevicollis","species","212441","Sarmatian","","12.7","11.608","39159"
"1007260","occ","","","115305","Eusarcoris pinguis","species","207405","Sarmatian","","12.7","11.608","39159"
"1007261","occ","","","115305","Pachymerus oblongus","species","212475","Sarmatian","","12.7","11.608","39159"
"1007262","occ","","","115305","Lygaeites obsoletus","species","212485","Sarmatian","","12.7","11.608","39159"
"1007263","occ","","","115305","Evagoras impressus","species","212504","Sarmatian","","12.7","11.608","39159"
"1007264","occ","","","115305","Belostomatidae","family","71382","Sarmatian","","12.7","11.608","39159"
"1007265","occ","","","115305","Pseudophana amatoria","species","212518","Sarmatian","","12.7","11.608","39159"
