"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1007335","occ","","","117246","Cicada ungeri","species","212515","Sarmatian","","12.7","11.608","39159"
"1007336","occ","","","117246","Cicada bifasciata","species","212516","Sarmatian","","12.7","11.608","39159"
"1007337","occ","","","117246","Locrites haidingeri","species","208080","Sarmatian","","12.7","11.608","39159"
"1007338","occ","","","117246","Aphrophora ungeri","species","212525","Sarmatian","","12.7","11.608","39159"
"1007339","occ","","","117246","Cercopis fasciata","species","212529","Sarmatian","","12.7","11.608","39159"
"1007340","occ","","","117246","Cercopis charpentieri","species","212530","Sarmatian","","12.7","11.608","50672"
"1007341","occ","","","117246","Cercopis longicollis","species","212531","Sarmatian","","12.7","11.608","39159"
"1007342","occ","","","117246","Acocephalus curtulus","species","212537","Sarmatian","","12.7","11.608","39159"
"1007343","occ","","","117246","Greenidea pallescens","species","212555","Sarmatian","","12.7","11.608","39159"
"1007344","occ","","","117246","Greenidea morloti","species","212556","Sarmatian","","12.7","11.608","39159"
"1007345","occ","","","117246","Lachnus pectorosus","species","212557","Sarmatian","","12.7","11.608","39159"
"1007346","occ","","","117247","Cydnopsis haidingeri","species","207397","Sarmatian","","12.7","11.608","39159"
"1007347","occ","","","117247","Cydnus brevicollis","species","207383","Sarmatian","","12.7","11.608","39159"
"1007348","occ","","","117247","Lygaeus deucalionis","species","212469","Sarmatian","","12.7","11.608","39159"
"1007349","occ","","","117247","Pachymerus bisignatus","species","212474","Sarmatian","","12.7","11.608","39159"
"1007350","occ","","","117247","Cercopis charpentieri","species","212530","Sarmatian","","12.7","11.608","39159"
"1007351","occ","","","117247","Greenidea pallescens","species","212555","Sarmatian","","12.7","11.608","39159"
"1007352","occ","","","122873","Cydnopsis scutellaris","species","212396","Sarmatian","","12.7","11.608","39159"
"1007353","occ","","","122873","Neurocoris rotundatus","species","212394","Sarmatian","","12.7","11.608","39159"
"1007354","occ","","","122873","Phloeocoris monstrosus","species","212427","Sarmatian","","12.7","11.608","39159"
"1007356","occ","","","122873","Spartocerus insignis","species","212447","Sarmatian","","12.7","11.608","39159"
"1007357","occ","","","122873","Cercopis pallida","species","212526","Sarmatian","","12.7","11.608","39159"
"1007358","occ","","","122873","Cercopis lanceolata","species","212532","Sarmatian","","12.7","11.608","39159"
"1007359","occ","","","122873","Tettigonia antiqua","species","212535","Sarmatian","","12.7","11.608","39159"
"1007360","occ","","","122873","Bythoscopus melanoneurus","species","212540","Sarmatian","","12.7","11.608","39159"
"1007361","occ","","","122874","Cydnus brevicollis","species","207383","Sarmatian","","12.7","11.608","39159"
"1007362","occ","","","122874","Neurocoris rotundatus","species","212394","Sarmatian","","12.7","11.608","39159"
"1007363","occ","","","122874","Pentatoma morloti","species","212430","Sarmatian","","12.7","11.608","39159"
"1007364","occ","","","122874","Acanthosoma morloti","species","212443","Sarmatian","","12.7","11.608","39159"
"1007365","occ","","","122874","Acanthosoma maculata","species","212445","Sarmatian","","12.7","11.608","39159"
"1007366","occ","","","122874","Heterogaster redivivus","species","212481","Sarmatian","","12.7","11.608","39159"
"1007367","occ","","","122874","Lygaeites pusillus","species","212486","Sarmatian","","12.7","11.608","39159"
"1007368","occ","","","122874","Nabis maculata","species","211055","Sarmatian","","12.7","11.608","39159"
"1007369","occ","","","122874","Harpactor gracilis","species","207430","Sarmatian","","12.7","11.608","39159"
"1007370","occ","","","122874","Tettigometra debilis","species","212520","Sarmatian","","12.7","11.608","39159"
"1007371","occ","","","122874","Cercopis rectelinea","species","212528","Sarmatian","","12.7","11.608","39159"
"1007372","occ","","","122874","Dictyophorites tingitinus","species","212543","Sarmatian","","12.7","11.608","39159"
"1007373","occ","","","117761","Heterogaster troglodytes","species","207427","Sarmatian","","12.7","11.608","39159"
"1007374","occ","","","117761","Nabis vagabunda","species","212492","Sarmatian","","12.7","11.608","39159"
"1007375","occ","","","117761","Nabis livida","species","212493","Sarmatian","","12.7","11.608","39159"
"1007376","occ","","","117761","Locrites haidingeri","species","208080","Sarmatian","","12.7","11.608","39159"
"1007377","occ","","","117761","Cercopis fasciata","species","212529","Sarmatian","","12.7","11.608","39159"
"1007378","occ","","","117761","Ptyelus spumiferus","species","211850","Sarmatian","","12.7","11.608","39159"
"1007379","occ","","","117761","Tettigonia morio","species","212536","Sarmatian","","12.7","11.608","39159"
"1007380","occ","","","117761","Acocephalus crassiusculus","species","212538","Sarmatian","","12.7","11.608","39159"
"1007381","occ","","","117761","Deltocephalinae","subfamily","213344","Sarmatian","","12.7","11.608","39159"
"1007382","occ","","","117761","Cicadellites pallidus","species","212549","Sarmatian","","12.7","11.608","39159"
"1007383","occ","","","117761","Cicadellites nigriventris","species","212550","Sarmatian","","12.7","11.608","39159"
"1007384","occ","","","117761","Greenidea macrostyla","species","212554","Sarmatian","","12.7","11.608","39159"
"1007385","occ","","","117761","Greenidea morloti","species","212556","Sarmatian","","12.7","11.608","39159"
"1007386","occ","","","122876","Aphanus murchisonae","species","211651","Chattian","","28.1","23.03","39159"
"1007387","occ","","","122876","Aphanus murchisonae","species","211651","Chattian","","28.1","23.03","39159"
"1007388","occ","","","122876","Aphrophora pinguicula","species","207435","Chattian","","28.1","23.03","39159"
"1007389","occ","","","122876","Bythoscopus muscarius","species","212539","Chattian","","28.1","23.03","39159"
"1007390","occ","","","122876","Eurydema impudica","species","212439","Chattian","","28.1","23.03","39159"
"1007391","occ","","","122877","Aphanus murchisonae","species","211651","Chattian","","28.1","23.03","39159"
"1007392","occ","","","122877","Aphanus murchisonae","species","211651","Chattian","","28.1","23.03","39159"
"1007393","occ","","","122877","Aphanus pulchellus","species","207423","Chattian","","28.1","23.03","39159"
"1007394","occ","","","122877","Aphanus pulchellus","species","207423","Chattian","","28.1","23.03","39159"
"1007395","occ","","","122877","Diniella fasciata","species","207424","Chattian","","28.1","23.03","39159"
"1007396","occ","","","122877","Heterogaster antiquus","species","211658","Chattian","","28.1","23.03","39159"
"1007397","occ","","","122877","Heterogaster pumilio","species","211659","Chattian","","28.1","23.03","39159"
"1007398","occ","","","122877","Ptyelus spumiferus","species","211850","Chattian","","28.1","23.03","39159"
"1007399","occ","","","122878","Aphanus pulchellus","species","207423","Chattian","","28.1","23.03","39159"
"1007405","occ","","","113964","Leptoscelis humata","species","212621","Early Oligocene","","33.9","28.4","39168"
"1007406","occ","","","113964","Lygaeus fossitius","species","212622","Early Oligocene","","33.9","28.4","39168"
"1007416","occ","","","122881","Celinapterix bellissima","species","212640","Late Paleocene","","58.7","55.8","39174"
"1007518","occ","","","122557","Cratonepa enigmatica","species","212732","Late Aptian","","122.46","112.03","39191"
"1007519","occ","","","122553","Cratonepa enigmatica","species","212732","Late Aptian","","122.46","112.03","39191"
"1007520","occ","","","122918","Cratonepa enigmatica","species","212732","Late Aptian","","122.46","112.03","39191"
"1007522","occ","","","122919","Cratonepa enigmatica","species","212732","Late Aptian","","122.46","112.03","39191"
"1008338","occ","","","103100","Eutrichosiphum europaeum","species","213016","Orleanian","","20","15.97","39219"
"1008339","occ","","","105571","Eutrichosiphum europaeum","species","213016","Middle Miocene","","15.97","11.608","39219"
"1008340","occ","","","122985","Eutrichosiphum europaeum","species","213016","Orleanian","","20","15.97","39219"
"1008341","occ","","","122985","Greenidea hispanica","species","213017","Orleanian","","20","15.97","39219"
"1008342","occ","","","122985","Greenideoida (Pentatrichosiphum) turolensis","species","213018","Orleanian","","20","15.97","39219"
"1008343","occ","","","122985","Mollitrichosiphum rubusensis","species","213019","Orleanian","","20","15.97","39219"
"1008344","occ","","","103100","Greenidea hispanica","species","213017","Orleanian","","20","15.97","39219"
"1008345","occ","","","103100","Greenideoida (Pentatrichosiphum) turolensis","species","213018","Orleanian","","20","15.97","39219"
"1008346","occ","","","123987","Progonocimex jurassicus","species","213022","Early Toarcian","","183","182","44888"
"1008347","occ","","","123987","Progonocimex liasinus","species","213023","Early Toarcian","","183","182","39220"
"1008348","occ","","","123987","Eocercopis ancyloptera","species","213025","Early Toarcian","","183","182","37201"
"1008349","occ","","","123987","Eocercopis similis","species","213026","Early Toarcian","","183","182","37201"
"1008350","occ","","","123987","Archicercopis falcatus","species","213028","Early Toarcian","","183","182","37201"
"1008351","occ","","","123987","Archegocimex geinitzi","species","213032","Early Toarcian","","183","182","39220"
"1008352","occ","","","123987","Archegocimex primitiva","species","213033","Early Toarcian","","183","182","44888"
"1008353","occ","","","123987","Archegocimex liadis","species","213035","Early Toarcian","","183","182","37201"
"1008354","occ","","","123987","Progonocoris pictus","species","213039","Early Toarcian","","183","182","44888"
"1008355","occ","","","123987","Anosmus spilopterus","species","213041","Early Toarcian","","183","182","37201"
"1008356","occ","","","123987","Archegocimicidae","family","181221","Early Toarcian","","183","182","44889"
"1008357","occ","","","123987","Pachymeridium dubium","species","213047","Early Toarcian","","183","182","50037"
"1008358","occ","","","123987","Sisyrocoris rudis","species","213049","Early Toarcian","","183","182","44889"
"1008359","occ","","","123987","Hypocimex membranaceus","species","213051","Early Toarcian","","183","182","37201"
"1008360","occ","","","123987","Apsicoria semideleta","species","213053","Early Toarcian","","183","182","37201"
"1008361","occ","","","123987","Cathalus alutaceus","species","213055","Early Toarcian","","183","182","37201"
"1008362","occ","","","123987","Psychrocoris cuneifera","species","213057","Early Toarcian","","183","182","44888"
"1008363","occ","","","123987","Cuneocoris geinitzi","species","213062","Early Toarcian","","183","182","44888"
"1008364","occ","","","123987","Apopnus magniclavus","species","213066","Early Toarcian","","183","182","44889"
"1008365","occ","","","123987","Aphlebocoris punctata","species","213070","Early Toarcian","","183","182","44889"
"1008366","occ","","","122987","Popovigocimex yurii","species","212926","Carnian","","237","228","39201"
"1008367","occ","","","122987","Yurigocimex popovi","species","212922","Carnian","","237","228","39201"
"1008368","occ","","","122988","Lariojaprosbole melchori","species","213074","Carnian","","237","228","54712"
"1008637","occ","","","123007","Prosbolidinella riorastensis","species","213072","Changhsingian","","254.17","252.17","52734"
"1008638","occ","","","123047","Argentinopheloscyta forsterae","species","212920","Carnian","","237","228","39201"
"1008639","occ","","","123047","Gualoscytina mayae","species","212918","Carnian","","237","228","39201"
"1008640","occ","","","122987","Australocicada arcucciae","species","213068","Carnian","","237","228","54712"
"1008683","occ","","","122987","Gallegomorphoptila gigantea","species","212946","Carnian","","237","228","54712"
"1008684","occ","","","122987","Gallegomorphoptila pulcherrima","species","212912","Carnian","","237","228","39201"
"1008685","occ","","","123009","Gallegomorphoptila acostai","species","212944","Carnian","","237","228","48430"
"1008686","occ","","","122987","Gallegomorphoptila breviptera","species","212914","Carnian","","237","228","39201"
"1008694","occ","","","123022","Procymophyes lithax","species","213339","Hemingfordian","","20.43","15.97","39284"
"1008695","occ","","","123022","Miomonalonion conoidifrons","species","213342","Hemingfordian","","20.43","15.97","39284"
"1008709","occ","","","123024","Bandelnielsenia chilena","species","212916","Carnian","","237","228","39201"
"1008710","occ","","","123009","Argentinocicada magna","species","212955","Carnian","","237","228","48430"
"1008711","occ","","","123009","Argentinocicada minima","species","212956","Carnian","","237","228","48430"
"1008712","occ","30503","","123009","Potrerillia nervosa","species","213063","Carnian","","237","228","48430"
"1008747","occ","","","123032","Miogonates subimpunctatus","species","213340","Hemingfordian","","20.43","15.97","39284"
"1008758","occ","29304","","123034","Euscelis palmeri","species","282229","Hemingfordian","","20.43","15.97","48915"
"1008841","occ","","","122471","Cretorthezia hammanaica","species","213377","Late Barremian","","130","125.45","39293"
"1008842","occ","","","122471","Hammanococcus setosus","species","213380","Late Barremian","","130","125.45","39293"
"1008843","occ","","","122471","Hammanococcus","genus","213379","Late Barremian","","130","125.45","39293"
"1008844","occ","","","122471","Lebanococcus longiventris","species","213383","Late Barremian","","130","125.45","39293"
"1008845","occ","","","122471","Palaeosteingelia acrai","species","213386","Late Barremian","","130","125.45","39293"
"1008846","occ","","","122471","Palaeosteingelia caudata","species","213387","Late Barremian","","130","125.45","39293"
"1008847","occ","","","122471","Palaeosteingelia","genus","213385","Late Barremian","","130","125.45","39293"
"1008848","occ","","","122471","Apticoccus minutus","species","213390","Late Barremian","","130","125.45","39293"
"1008849","occ","","","122471","Palaeotupo danieleae","species","213393","Late Barremian","","130","125.45","39293"
"1008850","occ","","","122471","Pennygullania electrina","species","213396","Late Barremian","","130","125.45","39293"
"1008851","occ","","","122471","Pennygullania","genus","213395","Late Barremian","","130","125.45","39293"
"1008852","occ","","","123000","Cretorthezia","genus","213376","Late Barremian","","130","125.45","39293"
"1008853","occ","","","123051","Kukaspis usingeri","species","213399","Cenomanian","","100.5","93.9","39294"
"1008858","occ","","","123020","Burmacoccus danyi","species","213407","Early Cenomanian","","99.6","93.5","39298"
"1008859","occ","","","123020","Albicoccus dimai","species","213410","Early Cenomanian","","99.6","93.5","39298"
"1008860","occ","","","123020","Marmyan barbarae","species","213412","Early Cenomanian","","99.6","93.5","39298"
"1008863","occ","","","123020","Niryasaburnia burmitina","species","213417","Early Cenomanian","","99.6","93.5","39336"
"1008876","occ","","","104053","Parvaverrucosa annulata","species","213455","Early Cenomanian","","99.6","93.5","39312"
"1008877","occ","","","104053","Burmitaphis prolatum","species","213458","Early Cenomanian","","99.6","93.5","39312"
"1008878","occ","","","104053","Caulinus burmitis","species","213460","Early Cenomanian","","99.6","93.5","39312"
"1008892","occ","","","111688","Quasicimex eilapinastes","species","213482","Early Cenomanian","","99.6","93.5","39319"
"1008988","occ","","","123020","Disphaerocephalus constrictus","species","213539","Early Cenomanian","","99.6","93.5","39331"
"1008989","occ","","","123020","Disphaerocephalus swinhoei","species","213541","Early Cenomanian","","99.6","93.5","39331"
"1008990","occ","","","123020","Disphaerocephalus macropterus","species","213542","Early Cenomanian","","99.6","93.5","39331"
"1008999","occ","","","123020","Paenicotechys fossilis","species","213567","Early Cenomanian","","99.6","93.5","39335"
"1009004","occ","","","123020","Plecophlebus nebulosus","species","213585","Early Cenomanian","","99.6","93.5","39336"
"1009022","occ","","","123009","Cacheutacicada kurtzae","species","213636","Carnian","","237","228","39290"
"1009030","occ","","","122988","Gallegomorphoptila kotejai","species","213659","Carnian","","237","228","39350"
"1009127","occ","","","123115","Saaloscytina carmonae","species","187187","Carnian","","237","228","39289"
"1009129","occ","","","123115","Saaloscytina carmonae","species","187187","Carnian","","237","228","39289"
"1009136","occ","","","99114","Cretogerris albianus","species","213841","Late Albian","","105.3","99.6","39370"
"1009137","occ","30081","","99114","Mesoveliidae","family","193104","Late Albian","","105.3","99.6","51801"
"1009140","occ","","","122387","Canadaphis carpenteri","species","213857","Late Campanian","","83.5","70.6","39375"
"1009141","occ","","","105375","Aradus creticus","species","213863","Early Campanian","","83.5","70.6","39376"
"1009339","occ","","","122387","Cretamyzus pikei","species","214000","Late Campanian","","83.5","70.6","39396"
"1009340","occ","","","122387","Mesozoicaphis tuberculata","species","214005","Late Campanian","","83.5","70.6","39396"
"1009341","occ","","","122387","Mesozoicaphis canadensis","species","214006","Late Campanian","","83.5","70.6","39396"
"1009342","occ","","","122387","Mesozoicaphis parva","species","214007","Late Campanian","","83.5","70.6","39396"
"1009343","occ","","","122387","Calgariaphis unguifera","species","214009","Late Campanian","","83.5","70.6","39396"
"1009344","occ","","","122387","Albertaphis longirostris","species","214011","Late Campanian","","83.5","70.6","39396"
"1009345","occ","","","122387","Campaniaphis albertae","species","214013","Late Campanian","","83.5","70.6","39396"
"1009346","occ","","","122387","Mesozoicaphis electri","species","214004","Late Campanian","","83.5","70.6","39396"
"1009347","occ","","","34896","Mesozoicaphis tuberculata","species","214005","Late Campanian","","83.5","70.6","39396"
"1009502","occ","","","122386","Jascopus notabilis","species","214120","Late Campanian","","83.5","70.6","5825"
"1009960","occ","","","122383","Longiradius foottitti","species","214510","Late Campanian","","83.5","70.6","39443"
"1009961","occ","","","122384","Longiradius foottitti","species","214510","Late Campanian","","83.5","70.6","39443"
"1009962","occ","","","122384","Canaphis albertensis","species","214512","Late Campanian","","83.5","70.6","39443"
"1009963","occ","","","122384","Aphidinius constrictus","species","214514","Late Campanian","","83.5","70.6","39443"
"1009964","occ","","","122384","Mesozoicaphis canadensis","species","214006","Late Campanian","","83.5","70.6","39443"
"1009965","occ","","","123143","Mesozoicaphis canadensis","species","214006","Late Campanian","","83.5","70.6","39443"
"1009966","occ","","","122383","Mesozoicaphis canadensis","species","214006","Late Campanian","","83.5","70.6","39443"
"1009967","occ","","","123213","Palaeogreenidea rittae","species","214516","Barstovian","","15.97","13.6","39443"
"1009968","occ","","","123213","Similidrepan pulawskii","species","214518","Barstovian","","15.97","13.6","39443"
"1009969","occ","","","123213","Nevaphis nevadensis","species","214520","Barstovian","","15.97","13.6","39443"
"1009970","occ","","","123213","Americaphis longipes","species","214522","Barstovian","","15.97","13.6","39443"
"1009971","occ","","","123213","Lachnarius miocaenicus","species","214524","Barstovian","","15.97","13.6","39443"
"1009972","occ","","","123213","Eriosaphis leei","species","214527","Barstovian","","15.97","13.6","39443"
"1009973","occ","","","123213","Eriosomaphis jesperi","species","214529","Barstovian","","15.97","13.6","39443"
"1009974","occ","","","123213","Eriosomaphis occidentalis","species","214530","Barstovian","","15.97","13.6","39443"
"1010002","occ","","","122353","Palaeoaphis archimedia","species","214663","Late Campanian","","83.5","70.6","5832"
"1010003","occ","","","122354","Ambaraphis costalis","species","214665","Late Campanian","","83.5","70.6","5832"
"1010004","occ","","","122354","Alloambria caudata","species","214667","Late Campanian","","83.5","70.6","5832"
"1010005","occ","","","122354","Pseudambria longirostris","species","214669","Late Campanian","","83.5","70.6","5832"
"1010006","occ","","","122358","Aniferella bostoni","species","214673","Late Campanian","","83.5","70.6","5832"
"1010124","occ","","","123221","Aradus goellnerae","species","214697","Priabonian","","38","33.9","39462"
"1010125","occ","","","123221","Aradus lativentris","species","214698","Priabonian","","38","33.9","39462"
"1010438","occ","","","123850","Parazetekella eocenica","species","214945","MP 7","","55.8","48.6","39493"
"1010517","occ","","","122356","Canadaphis carpenteri","species","213857","Late Campanian","","83.5","70.6","5821"
"1010770","occ","","","123416","Yuripopovina magnifica","species","215462","Late Barremian","","130","125.45","39540"
"1010771","occ","","","123417","Ipsvicia langenbergensis","species","215463","Sevatian","","212","205.6","39541"
"1010776","occ","","","110737","Paernis gregorius","species","215467","Priabonian","","38","33.9","39542"
"1010777","occ","","","123418","Yuripopoverus africanus","species","215469","Holocene","","0.0117","0","39543"
"1010778","occ","","","122474","Psallops popovi","species","215473","Burdigalian","Langhian","20.44","13.82","39544"
"1010917","occ","","","99114","Akmazeina santonorum","species","215724","Late Albian","","105.3","99.6","39567"
"1010979","occ","","","104053","Palaeoleptus burmanicus","species","215816","Early Cenomanian","","99.6","93.5","39591"
"1011041","occ","30339","","123440","Pyrenicocephalus jarzembowskii","species","215964","Ypresian","","56","47.8","39614"
"1011047","occ","","","123442","Magrebarcta africana","species","216058","Aptian","","125","113","39617"
"1011048","occ","","","106313","Ignotingis mirifica","species","216101","Aptian","","125","113","39619"
"1011054","occ","","","111710","Pristinochterus zhangi","species","216120","Late Barremian","","130","125.45","39622"
"1011055","occ","","","123444","Pristinochterus zhangi","species","216120","Early Aptian","","125.45","122.46","39622"
"1011057","occ","","","123445","Pristinochterus zhangi","species","216120","Aptian","","125","113","39622"
"1011068","occ","","","123446","Odrowazicoris polonicus","species","216210","Hettangian","","201.3","199.3","39628"
"1011162","occ","","","123456","Leptonannus miocenicus","species","216370","Early Miocene","","23.03","15.97","39645"
"1011169","occ","","","123458","Austris raffelis","species","216400","Priabonian","","38","33.9","39650"
"1011179","occ","","","123461","Woottonia phalerata","species","216260","Norian","","228","208.5","39634"
"1011181","occ","","","110766","Pelorisca connectens","species","216262","Carnian","","237","228","39634"
"1011182","occ","","","105017","Cicadocoris","genus","216258","Oxfordian","","163.5","157.3","39634"
"1011183","occ","","","122471","Libanohypselosoma popovi","species","216437","Late Barremian","","130","125.45","39657"
"1011184","occ","","","118010","Karabasia kovalevi","species","216421","Bajocian","Bathonian","170.3","166.1","39634"
"1011187","occ","","","106055","Karabasia constellata","species","216424","Hauterivian","","132.9","129.4","39634"
"1011188","occ","","","123197","Karabasia evansi","species","216426","Tithonian","","152.1","145","39634"
"1011189","occ","","","123197","Karabasia evansi","species","216426","Tithonian","","152.1","145","39634"
"1011193","occ","","","123464","Karabasiidae","family","216406","Early Aptian","","125.45","122.46","39634"
"1011194","occ","","","122552","Hoploridium dollingi","species","216429","Aptian","","125","113","39634"
"1011195","occ","","","106103","Hoploridium dollingi","species","216429","Aptian","","125","113","39634"
"1011196","occ","","","119498","Hoploridium dollingi","species","216429","Aptian","","125","113","39634"
"1011197","occ","","","122562","Hoploridium dollingi","species","216429","Aptian","","125","113","39634"
"1011198","occ","","","123465","Hoploridium dollingi","species","216429","Aptian","","125","113","39634"
"1011199","occ","","","123466","Hoploridium dollingi","species","216429","Aptian","","125","113","39634"
"1011200","occ","","","123468","Hoploridium dollingi","species","216429","Aptian","","125","113","39634"
"1011209","occ","","","122986","Eocercopis ovalis","species","216269","Early Toarcian","","183","182","37201"
"1011210","occ","","","122590","Netutela annunciator","species","216456","Santonian","","86.3","83.6","39663"
"1011293","occ","","","108769","Alavesiaphis margaritae","species","216494","Early Albian","","112.03","109","39677"
"1011295","occ","","","123489","Notonecta mazzoniae","species","216496","Aptian","","125","113","39679"
"1011455","occ","","","107076","Ambarcader eugenei","species","216697","Early Cenomanian","","99.6","93.5","39731"
"1011456","occ","","","99114","Ebboa areolata","species","216701","Late Albian","","105.3","99.6","39731"
"1011457","occ","","","123441","Ebboa areolata","species","216701","Cenomanian","","100.5","93.9","39731"
"1012386","occ","","","108206","Dinoscyta microcephala","species","217160","Kungurian","","279.3","272.3","39813"
"1012387","occ","","","107958","Simulaphis shaposhnikovi","species","217166","Changhsingian","","254.17","252.17","39813"
"1012388","occ","","","107958","Pincombea","genus","191179","Changhsingian","","254.17","252.17","39813"
"1012389","occ","","","104992","Boreoscyta nefasta","species","198412","Roadian","","272.3","268.8","39813"
"1012390","occ","","","106088","Coccavus supercubitus","species","217171","Carnian","","237","228","39813"
"1012391","occ","","","105007","Coccavus supercubitus","species","217171","Carnian","","237","228","39813"
"1012392","occ","","","110818","Panirena sukatshevae","species","217174","Tithonian","","152.1","145","39813"
"1012393","occ","","","118010","Panirena tenella","species","217175","Bajocian","Bathonian","170.3","166.1","39813"
"1012394","occ","","","107340","Naibia zherichini","species","217177","Lutetian","","47.8","41.3","39813"
"1012395","occ","","","107340","Naibiidae","family","217168","Lutetian","","47.8","41.3","39813"
"1012403","occ","","","113360","Mirivena robusta","species","217196","Callovian","Oxfordian","166.1","157.3","39821"
"1012553","occ","","","123833","Gerrinae","subfamily","217295","Early Oligocene","","33.9","28.4","39833"
"1012566","occ","","","105375","Anirma longiclavalis","species","217328","Early Campanian","","83.5","70.6","39837"
"1012567","occ","","","105375","Manaria minor","species","217326","Early Campanian","","83.5","70.6","39837"
"1012568","occ","","","105375","Cretamiris zherikhini","species","217324","Early Campanian","","83.5","70.6","39837"
"1012569","occ","","","105375","Armanomiris cretaceous","species","217321","Early Campanian","","83.5","70.6","39837"
"1012570","occ","","","105375","Armanomiris klimaszewskii","species","217320","Early Campanian","","83.5","70.6","39837"
"1012800","occ","","","123851","Progonocimicidae","family","175917","Bathonian","","168.3","166.1","40706"
"1012806","occ","","","122473","Archiokrisna garciamarquezi","species","217388","Burdigalian","Langhian","20.44","13.82","5187"
"1012809","occ","","","123858","Krocarites reflexa","species","217395","Burdigalian","Langhian","20.44","13.82","5187"
"1012810","occ","","","122473","Jassoqualus hispaniolensis","species","217400","Burdigalian","Langhian","20.44","13.82","5187"
"1012813","occ","","","122474","Phymacysta stysi","species","217407","Burdigalian","Langhian","20.44","13.82","39851"
