Species	Status
Berytidae	extinct
Berytopsis_femoralis	extinct
Biamoaphis_antiqua	extinct
Bibiticen_hebeiensis	extinct
Blattoprosbole_tomiensis	extinct
Bolbossus_bervoetsi	extinct
Bolshayanoecia_rasnitsyni	extinct
Boreocixius_rotundatus	extinct
Boreocixius_sibiricus	extinct
Boreoscyta_latipennis	extinct
Boreoscyta_nefasta	extinct
Borisrohdendorfia_picturata	extinct
Bothriobaltia_pietrzeniukae	extinct
Brachymetroides_atra	extinct
Brachypelta_retrita	extinct
Brachypelta_rotundata	extinct
Brachypicritus_ribesi	extinct
Brevaphrodella_nigra	extinct
Breviscutum_lunatum	extinct
Brevisensoria_incrustata	extinct
Brevrimatus_pulchalifer	extinct
Brimaphis_abdita	extinct
Brimaphis_certa	extinct
Brimaphis_similis	extinct
Britannicola_senilis	extinct
Bugyrorinaphis_bayana	extinct
Bugyrorinaphis_unica	extinct
Bumbacorixa_elytralis	extinct
Buriataphis_soporata	extinct
Burmacader_multivenosus	extinct
Burmacicada_protera	extinct
Burmacoccus_danyi	extinct
Burmametra_macrocarinata	extinct
Burmitaphis_prolatum	extinct
Burmorthezia	extinct
Burmorthezia_insolita	extinct
Burmorthezia_kotejai	extinct
Burmoselis_evelynae	extinct
Buzinia_couillardi	extinct
Byssoidecerus_levigatus	extinct
Bythoscopus_homousius	extinct
Bythoscopus_lapidescens	extinct
Bythoscopus_lunatus	extinct
Bythoscopus_melanoneurus	extinct
Bythoscopus_muscarius	extinct
Bythoscopus_pulcher	extinct
Bythoscopus_robustus	extinct
Bythoscopus_sepultus	extinct
Cacalydus_exstirpatus	extinct
Cacalydus_lapsus	extinct
Cacheutacicada_kurtzae	extinct
Cacopsylla_adjuncta	extinct
Cacopsylla_agellialta	extinct
Cacopsylla_beckeriae	extinct
Cacopsylla_elongata	extinct
Cacopsylla_lapidea	extinct
Cacopsylla_loginovae	extinct
Cacopsylla_popovi	extinct
Cacopsylla_subambigua	extinct
Cacopsylla_taurica	extinct
Cacopsylla_umbrata	extinct
Cacoschistus_maceriatus	extinct
Calgariaphis_unguifera	extinct
Calisiomorpha_yuripopovi	extinct
Calisiopsis_azteca	extinct
Calisiopsis_brodzinskyorum	extinct
Calisius	extinct
Calisius_balticus	extinct
Calisius_hoffeinsorum	extinct
Calisius_rietscheli	extinct
Calisius_vonholti	extinct
Calisius_weitschati	extinct
Calocoris_antennatus	extinct
Campaniaphis_albertae	extinct
Canadaphis_carpenteri	extinct
Canadaphis_kovalevi	extinct
Canadaphis_mordvilkoi	extinct
Canaphis_albertensis	extinct
Cancerococcus_apterus	extinct
Canteronecta_irajae	extinct
Capsus_lacus	extinct
Capsus_obsolefactus	extinct
Carbula_crassiventris	extant
Carbula_pustulosa	extinct
Carinametra_burmensis	extinct
Carmelus_gravatus	extinct
Carmelus_sepositus	extinct
Carpenterella_curtipennis	extinct
Carpenterella_grombtchevskayae	extinct
Carpenterella_pusilla	extinct
Carpocoris_hoberlandti	extinct
Carpocoroides_incertus	extinct
Carpocoroides_latus	extinct
Carpopodus	extinct
Carpopodus_difficilis	extinct
Carsburgia_knezouri	extinct
Carsidarina	extinct
Carsidarina_ampla	extinct
Carsidarina_hooleyi	extinct
Carsidarina_jarzembowskii	extinct
Carsidarina_media	extinct
Carventus_bechlyi	extinct
Cathalus_alutaceus	extinct
Catopamera_augheyi	extinct
Catopamera_bradleyi	extinct
Catopsylla_crawfordi	extinct
Catopsylla_prima	extinct
Caudaphis	extinct
Caudaphis_angustivola	extinct
Caudaphis_brevicrura	extinct
Caudaphis_leptoneura	extinct
Caudaphis_longiantennata	extinct
Caudaphis_minulissima	extinct
Caudaphis_modica	extinct
Caudaphis_spinalis	extinct
Caudaphis_vulgata	extinct
Caulinus_burmitis	extinct
Cedusa_baylissae	extinct
Cedusa_credula	extinct
Celantia_seposita	extinct
Celinapterix_bellissima	extinct
Cenanges	extinct
Cephalocoris_pilosus	extinct
Ceratocombus_(Ceratocombus)_hurdi	extinct
Cercopidae	extinct
Cercopidium_mimas	extinct
Cercopidium_rugulosum	extinct
Cercopion_reticulata	extinct
Cercopis	extinct
Cercopis_amaguensis	extinct
Cercopis_astricta	extinct
Cercopis_aurata	extinct
Cercopis_cephalinus	extinct
Cercopis_charpentieri	extinct
Cercopis_fasciata	extinct
Cercopis_germari	extinct
Cercopis_gigantea	extinct
