Species	Status	min_age	max_age
Fulgoridium_(Compactofulgoridium)_spoliatum	extinct	182	183
Hypocixius_oblitescens	extinct	56	66
Ormenis_devinctus	extinct	56	66
Corizus_deflagratus	extinct	56	66
Xyloesteles_parvulus	extinct	33.9	38
Xyloesteles_kerneggeriorum	extinct	33.9	38
Eogyropsylla_sedzimiri	extinct	33.9	38
Yuripopovia_vectense	extinct	122.46	125.45
Maguviopsis_kotchnevi	extinct	228	237
Tingiopsis_reticulata	extinct	228	237
Nevicia_imitans	extinct	228	237
Asiocula_lima	extinct	228	237
Falcarta_bella	extinct	228	237
Phyllotexta_latens	extinct	228	237
Fulgobole_evansi	extinct	228	237
Scytachile_emeljanovi	extinct	228	237
Asiocula_lima	extinct	228	237
Fasolinka_beckermigdisovae	extinct	228	237
Fulgobole_evansi	extinct	228	237
Scytachile_emeljanovi	extinct	228	237
Tingiopsis_reticulata	extinct	228	237
Sacvoyagea_ventrosa	extinct	228	237
Nevicia_imitans	extinct	228	237
Asiocula_lima	extinct	228	237
Fasolinka_beckermigdisovae	extinct	228	237
Maguviopsis_kotchnevi	extinct	228	237
Fulgobole_evansi	extinct	228	237
Mesojablonia_kukalovae	extinct	228	237
Tingiopsis_reticulata	extinct	228	237
Sacvoyagea_ventrosa	extinct	228	237
Maguviopsis_kotchnevi	extinct	228	237
Tingiopsis_reticulata	extinct	228	237
Sacvoyagea_ventrosa	extinct	228	237
Nonescyta_mala	extinct	228	237
Asiocula_lima	extinct	228	237
Falcarta_bella	extinct	228	237
Krendelia_ansata	extinct	228	237
Fasolinka_beckermigdisovae	extinct	228	237
Cuanoma_protracta	extinct	228	237
Phyllotexta_latens	extinct	228	237
Maguviopsis_kotchnevi	extinct	228	237
Fulgobole_evansi	extinct	228	237
Tingiopsis_reticulata	extinct	228	237
Sacvoyagea_ventrosa	extinct	228	237
Nonescyta_mala	extinct	228	237
Falcarta_bella	extinct	228	237
Krendelia_ansata	extinct	228	237
Cuanoma_protracta	extinct	228	237
Phyllotexta_latens	extinct	228	237
Sitechka_perforata	extinct	228	237
Maguviopsis_kotchnevi	extinct	228	237
Sacvoyagea_ventrosa	extinct	228	237
Falcarta_bella	extinct	228	237
Krendelia_ansata	extinct	228	237
Fasolinka_beckermigdisovae	extinct	228	237
Cuanoma_protracta	extinct	228	237
Phyllotexta_latens	extinct	228	237
Sitechka_perforata	extinct	228	237
Tingiopsis_reticulata	extinct	228	237
Maguviopsis_kotchnevi	extinct	228	237
Anthoscytina_hongi	extinct	157.3	166.1
