"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus"
"596658","occ","","","63217","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","18195","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"596682","occ","","","63218","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"596698","occ","","","63219","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596720","occ","","","63223","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596741","occ","","","63229","Proboscidea","order","43230","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","",""
"596762","occ","","","63232","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596763","occ","","","63233","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596764","occ","","","63234","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596775","occ","","","63235","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596786","occ","","","63237","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596794","occ","","","63238","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596795","occ","","","63239","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596819","occ","","","63241","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596820","occ","","","63243","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596831","occ","","","63244","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596832","occ","","","63245","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596833","occ","","","63246","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596840","occ","","","63247","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596841","occ","","","63248","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596842","occ","","","63249","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596843","occ","","","63250","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596844","occ","","","63252","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596855","occ","","","63253","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596859","occ","","","63254","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596860","occ","","","63255","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596861","occ","","","63256","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596862","occ","","","63257","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596863","occ","","","63258","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596864","occ","","","63259","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596865","occ","","","63260","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596866","occ","","","63261","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596867","occ","","","63262","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596868","occ","","","63263","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596869","occ","","","63264","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596870","occ","","","63265","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596871","occ","","","63266","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596872","occ","","","63267","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596873","occ","","","63268","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596874","occ","","","63269","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596875","occ","","","63270","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596876","occ","","","63271","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596877","occ","","","63272","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","31830","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596878","occ","","","63273","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","31830","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596879","occ","","","63274","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"596880","occ","","","63275","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598092","occ","","","63335","Gomphotheriidae","family","43240","Middle Pleistocene","","0.781","0.126","17632","Chordata","Mammalia","Proboscidea","Gomphotheriidae",""
"598149","occ","","","63386","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598151","occ","","","63388","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598166","occ","","","63389","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598167","occ","","","63390","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598178","occ","","","63391","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598179","occ","","","63392","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598196","occ","","","63394","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598201","occ","","","63395","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598202","occ","","","63396","Proboscidea","order","43230","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","",""
"598203","occ","","","63227","Proboscidea","order","43230","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","",""
"598204","occ","","","63398","Proboscidea","order","43230","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","",""
"598205","occ","","","63399","Proboscidea","order","43230","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","",""
"598207","occ","","","63401","Proboscidea","order","43230","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","",""
"598229","occ","","","63397","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18196","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598290","occ","","","63404","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18240","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598291","occ","","","63405","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18240","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598292","occ","","","63406","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18240","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598293","occ","","","63407","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","18240","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598295","occ","","","63409","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","18241","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"598296","occ","","","63410","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598297","occ","","","63411","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598298","occ","","","63412","Mammut americanum","species","46016","Pleistocene","","2.588","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598299","occ","","","63413","Mammut americanum","species","46016","Pleistocene","","2.588","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598300","occ","","","63414","Mammut americanum","species","46016","Pleistocene","","2.588","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598301","occ","","","63415","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598302","occ","","","63416","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598303","occ","","","63417","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
