"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","parent_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon"
"339762","339762","txn","","species","Anancus defloccatus","43242","51404","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus",""
"161974","161974","txn","","species","Anancus perimensis","43242","31665","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus",""
"161975","161975","txn","","species","Anancus sinensis","43242","31665","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus",""
"161976","161976","txn","","species","Anancus kazachstanensis","43242","31665","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus",""
"161971","161971","txn","","species","Anancus arvernensis","43242","31665","extinct","71","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus",""
"105046","105046","txn","","species","Anancus brazosius","43242","24940","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus",""
"159431","159431","txn","","species","Anancus kenyensis","43242","5361","extinct","29","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus",""
"51369","51369","txn","","species","Rhynchotherium simpsoni","43256","2681","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium",""
"47933","51363","txn","","species","Rhynchotherium euhyphodon","43256","3579","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium",""
"51365","51365","txn","","species","Rhynchotherium francisi","43256","3433","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium",""
"51364","51364","txn","","species","Rhynchotherium falconeri","43256","2705","extinct","5","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium",""
"51358","51358","txn","","species","Rhynchotherium anguirvale","43256","3433","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium",""
"44575","51359","txn","","species","Rhynchotherium blicki","43256","3433","extinct","6","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium",""
"269159","269159","txn","","species","Dibelodon andium","43256","46937","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium",""
"45648","45648","txn","","species","Dibelodon praecursor","43256","53742","extinct","3","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium",""
"108779","108780","txn","","species","Pediolophodon fricki","108776","25376","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Pediolophodon",""
"108777","108778","txn","","species","Pediolophodon campester","108776","37584","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Pediolophodon",""
"46016","47865","txn","","species","Mammut americanum","43274","2328","extinct","342","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut",""
"50575","47866","txn","","species","Mammut cosoensis","43274","3086","extinct","1","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut",""
"47867","47867","txn","","species","Mammut furlongi","43274","3119","extinct","2","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut",""
"47937","47868","txn","","species","Mammut matthewi","43274","2703","extinct","10","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut",""
"47945","47872","txn","","species","Mammut raki","43274","3378","extinct","1","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut",""
"120902","120902","txn","","species","Mastodon spenceri","43274","26934","extinct","1","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut",""
"161897","161897","txn","","species","Mastodon bumiajuensis","43274","31625","extinct","2","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut",""
"47942","47942","txn","","species","Mastodon proavus","43274","53199","extinct","2","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut",""
"95513","159356","txn","","species","Zygolophodon turicensis","95509","4265","extinct","17","Chordata","Mammalia","Proboscidea","Mammutidae","Zygolophodon",""
"95508","52758","txn","","species","Zygolophodon tapiroides","95509","4265","extinct","34","Chordata","Mammalia","Proboscidea","Mammutidae","Zygolophodon",""
"159354","159354","txn","","species","Zygolophodon morotoensis","95509","31192","extinct","2","Chordata","Mammalia","Proboscidea","Mammutidae","Zygolophodon",""
"67864","67864","txn","","species","Zygolophodon aegyptensis","95509","14562","extinct","1","Chordata","Mammalia","Proboscidea","Mammutidae","Zygolophodon",""
"331893","331893","txn","","species","Losodokodon losodokius","331892","57046","extinct","2","Chordata","Mammalia","Proboscidea","Mammutidae","Losodokodon",""
"97155","97155","txn","","species","Eritreum melakeghebrekristosi","97154","23730","extinct","1","Chordata","Mammalia","Proboscidea","","Eritreum",""
"333284","333284","txn","","species","Arcanotherium savagei","333283","59616","extinct","0","Chordata","Mammalia","Proboscidea","","Arcanotherium",""
"155226","155226","txn","","species","Cryptomastodon martini","72061","30804","extinct","0","Chordata","Mammalia","Proboscidea","","Cryptomastodon",""
"72062","72062","txn","","species","Neodesmostylus primigenius","72050","30851","extinct","1","Chordata","Mammalia","Proboscidea","","Neodesmostylus",""
